Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C2, C25, C26, C28, C29, C3, C30, C31, C4, C5, C8",0603,14,100nF,
"C10, C11",0805,2,12pF,
"C14, C21, C22, C24, C6, C7",0805,6,4.7uF,
"C15, C16, C17, C18, C19, C20, C23, C27, C9",0603,9,1uF,
"D2, D3, D4",D_SOD-123,3,MBR0530,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,UART,
J3,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,I2C_3,
J4,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,SEN55,
J5,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,I2C_1,
J6,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,I2C_2,
J7,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,I2C_4,
J9,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,E-Paper,
L1,0805,1,68uH,
Q1,SOT-323_SC-70,1,Si1308EDL,
R10,0402,1,10M,
R11,0603,1,10K,
R13,0805,1,0.47R,
"R14, R15",0603,2,2.2K,
"R5, R6",0603,2,5.1K,
U1,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1/U,
U2,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,1,SCD41-D-R2,
U3,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
"U4, U7, U8",SOT-23-5,3,TLV73333PDBV,
U6,SOT-666,1,USBLC6-2P6,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
